Diehard test for Large m


#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                /tmp/tmp8j9xordn|  1.01e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
        diehard_runs|   0|    100000|     100|0.27030817|  PASSED  
        diehard_runs|   0|    100000|     100|0.98078885|  PASSED  
       diehard_craps|   0|    200000|     100|0.65701008|  PASSED  
       diehard_craps|   0|    200000|     100|0.91226977|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.02729435|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.51570373|  PASSED  
         sts_monobit|   1|    100000|     100|0.17343025|  PASSED  
            sts_runs|   2|    100000|     100|0.55831845|  PASSED  
          sts_serial|   1|    100000|     100|0.56228190|  PASSED  
          sts_serial|   2|    100000|     100|0.71698975|  PASSED  
          sts_serial|   3|    100000|     100|0.59635558|  PASSED  
          sts_serial|   3|    100000|     100|0.04934612|  PASSED  
          sts_serial|   4|    100000|     100|0.07427820|  PASSED  
          sts_serial|   4|    100000|     100|0.83574900|  PASSED  
          sts_serial|   5|    100000|     100|0.49873957|  PASSED  
          sts_serial|   5|    100000|     100|0.89210664|  PASSED  
          sts_serial|   6|    100000|     100|0.84298097|  PASSED  
          sts_serial|   6|    100000|     100|0.61407723|  PASSED  
          sts_serial|   7|    100000|     100|0.38184984|  PASSED  
          sts_serial|   7|    100000|     100|0.16182893|  PASSED  
          sts_serial|   8|    100000|     100|0.30721401|  PASSED  
          sts_serial|   8|    100000|     100|0.71217250|  PASSED  
          sts_serial|   9|    100000|     100|0.02482215|  PASSED  
          sts_serial|   9|    100000|     100|0.56181474|  PASSED  
          sts_serial|  10|    100000|     100|0.20102728|  PASSED  
          sts_serial|  10|    100000|     100|0.81774662|  PASSED  
          sts_serial|  11|    100000|     100|0.47675569|  PASSED  
          sts_serial|  11|    100000|     100|0.97974241|  PASSED  
          sts_serial|  12|    100000|     100|0.41408564|  PASSED  
          sts_serial|  12|    100000|     100|0.16467994|  PASSED  
          sts_serial|  13|    100000|     100|0.80812121|  PASSED  
          sts_serial|  13|    100000|     100|0.17416753|  PASSED  
          sts_serial|  14|    100000|     100|0.44331656|  PASSED  
          sts_serial|  14|    100000|     100|0.36201356|  PASSED  
          sts_serial|  15|    100000|     100|0.98827352|  PASSED  
          sts_serial|  15|    100000|     100|0.55852449|  PASSED  
          sts_serial|  16|    100000|     100|0.54929058|  PASSED  
          sts_serial|  16|    100000|     100|0.66500947|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.20152051|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.41618429|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.12003971|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.29998136|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.79951953|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.23004352|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.35728334|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.52692585|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.99442993|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.55377247|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.19322364|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.73035710|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.42597319|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.79692928|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.97061935|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.55508070|  PASSED  
    rgb_permutations|   2|    100000|     100|0.96085455|  PASSED  
    rgb_permutations|   3|    100000|     100|0.58586915|  PASSED  
    rgb_permutations|   4|    100000|     100|0.87084028|  PASSED  
    rgb_permutations|   5|    100000|     100|0.40081495|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.30706115|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.97886884|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.06061826|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.04578506|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.31754146|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.29716703|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.75519883|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.02460204|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.24114708|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.89731355|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.29694113|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.64513899|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.71590744|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.72238911|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.53733878|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.96212181|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.74931058|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.71349284|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.33964911|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.38336221|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.94872860|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.87113021|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.99998120|   WEAK   
      rgb_lagged_sum|  23|   1000000|     100|0.47664870|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.48714949|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.77772781|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.75087669|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.94031415|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.25819445|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.96105742|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.63405001|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.98752564|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.69936008|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.43464335|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.52567744|  PASSED  
             dab_dct| 256|     50000|       1|0.24720258|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.05898618|  PASSED  
        dab_filltree|  32|  15000000|       1|0.05241511|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.76666763|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.79927937|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.23082034|  PASSED  
----------------------------------------------------------------------
